ALS|GLON(deg)|GLAT(deg)
 3332|  318.84|   -4.58
 3334|  320.41|   -2.17
 3336|  320.13|   -2.64
 3335|  319.64|   -3.43
17768|  320.73|   -1.86
 3338|  321.44|   -0.75
17770|  320.87|   -1.69
 3341|  326.31|    6.79
17771|  320.58|   -2.18
17769|  320.21|   -2.77
14267|  323.15|    1.84
19458|  320.67|   -2.07
 3339|  319.32|   -4.21
 3340|  320.69|   -2.11
19459|  320.77|   -1.99
14269|  320.82|   -1.95
14268|  319.97|   -3.28
19119|  320.83|   -1.96
 3343|  322.68|    0.91
 3342|  321.16|   -1.51
19460|  320.82|   -2.05
14270|  322.05|   -0.15
15010|  331.32|   13.82
 3344|  320.97|   -1.93
18466|  320.98|   -1.93
19461|  320.95|   -1.98
19679|  332.75|   15.81
17772|  320.65|   -2.45
18467|  320.94|   -2.06
19462|  321.16|   -1.76
 3346|  322.70|    0.54
 3345|  321.22|   -1.76
19463|  321.10|   -2.00
15012|  329.23|   10.32
17773|  321.27|   -1.77
16371|  333.84|   16.75
 3350|  326.29|    5.74
17774|  320.74|   -2.73
15011|  321.24|   -1.96
19464|  321.39|   -1.75
 3347|  321.37|   -1.82
19465|  321.45|   -1.76
19120|  322.50|   -0.19
17775|  321.24|   -2.13
19121|  321.18|   -2.23
 3348|  319.47|   -4.83
14271|  321.24|   -2.20
 3351|  321.33|   -2.12
 3349|  318.99|   -5.65
14272|  320.25|   -3.78
19122|  321.94|   -1.33
17776|  322.78|   -0.21
18943|  332.77|   14.26
 3352|  319.70|   -4.91
17777|  322.53|   -0.71
16206|   21.87|   51.93
19466|  321.94|   -1.70
18965|  331.21|   11.88
17778|  321.01|   -3.16
19467|  321.98|   -1.79
19468|  323.26|    0.07
14273|  321.53|   -2.61
17779|  322.40|   -1.33
19469|  321.27|   -3.00
 3353|  321.97|   -2.01
 3359|  329.81|    9.40
 3354|  321.97|   -2.01
19123|  319.50|   -5.64
 3355|  322.46|   -1.33
 3358|  323.75|    0.50
18887|  344.72|   28.01
 3356|  320.99|   -3.58
17780|  321.91|   -2.25
 3360|  325.94|    3.63
 3357|  321.97|   -2.17
17781|  323.93|    0.69
14274|  321.40|   -3.02
16500|  331.65|   11.70
18468|  322.57|   -1.37
19470|  322.49|   -1.58
 3362|  322.34|   -1.81
19471|  322.72|   -1.31
 3363|  322.14|   -2.15
17782|  322.12|   -2.28
17783|  321.82|   -2.75
 3361|  318.19|   -7.94
14275|  321.97|   -2.58
17784|  323.10|   -1.00
19472|  322.47|   -1.96
17912|  325.75|    2.75
15013|  313.85|  -14.01
14276|  318.58|   -7.65
14277|  325.09|    1.51
 3364|  321.50|   -3.60
18893|  341.02|   22.49
19124|  321.86|   -3.15
 3365|  322.35|   -2.48
 3366|  324.83|    1.03
14278|  321.97|   -3.04
16216|  349.32|   31.11
19473|  323.62|   -0.73
17785|  322.65|   -2.11
19125|  320.11|   -5.68
18894|  343.34|   24.87
 3367|  322.69|   -2.13
19474|  323.22|   -1.44
 3370|  327.09|    3.90
 3368|  322.41|   -2.66
 3369|  324.76|    0.58
19475|  322.86|   -2.10
16207|  356.07|   36.35
14279|  325.11|    1.01
 3371|  322.79|   -2.28
19782|   75.18|   52.59
16135|  312.63|  -15.97
17786|  323.84|   -0.91
15014|  333.19|   11.89
17787|  322.80|   -2.48
19017|  316.73|  -10.77
14280|  322.82|   -2.50
15015|  331.02|    8.76
17788|  324.61|   -0.08
14281|  320.58|   -5.67
 3372|  323.10|   -2.26
14282|  321.92|   -3.92
 3373|  323.08|   -2.33
 3374|  323.96|   -1.17
17789|  325.57|    0.94
16359|  343.25|   23.31
19126|  322.71|   -3.08
17790|  322.46|   -3.48
19476|  323.59|   -1.98
17791|  324.42|   -0.93
 3376|  327.70|    3.51
 3378|  329.27|    5.52
16941|  307.80|  -22.01
14283|  323.49|   -2.29
 3375|  322.98|   -3.03
19477|  326.92|    2.28
 3377|  322.60|   -3.60
 3381|  325.09|   -0.28
16136|  332.91|   10.10
17792|  323.07|   -3.02
 3379|  323.78|   -2.08
17524|  332.41|    9.41
 3380|  323.61|   -2.31
17793|  326.41|    1.37
 3382|  323.77|   -2.19
16358|  314.34|  -14.44
 3383|  331.16|    7.63
19127|  326.95|    1.96
17794|  325.61|    0.14
 3384|  324.95|   -0.84
 3385|  323.95|   -2.31
 3386|  326.31|    0.74
 3387|  328.86|    4.07
16865|  338.48|   16.08
18944|  335.58|   12.45
 3388|  323.10|   -3.71
14284|  323.15|   -3.73
14285|  323.04|   -3.91
14286|  323.61|   -3.19
14287|  326.24|    0.24
19478|  324.77|   -1.72
14288|  323.91|   -2.87
 3389|  325.78|   -0.44
17795|  324.77|   -1.76
18049|  326.73|    0.77
19128|  323.60|   -3.39
16716|  347.90|   25.54
17796|  324.37|   -2.44
 3390|  324.70|   -2.09
18050|  326.39|    0.02
14290|  332.71|    8.07
19129|  328.68|    2.93
14291|  332.70|    8.04
 3393|  324.93|   -1.94
 3392|  323.82|   -3.36
16575|    5.53|   38.99
14289|  323.81|   -3.41
 3395|  327.40|    1.19
 3394|  325.50|   -1.31
17797|  324.50|   -2.63
 3396|  331.87|    6.73
19130|  327.43|    1.09
16260|  328.10|    1.94
19015|  318.49|  -10.18
 3391|  319.22|   -9.35
18051|  327.02|    0.42
14292|  324.09|   -3.31
14293|  324.32|   -3.04
 3399|  330.42|    4.59
 3400|  329.23|    3.04
 3397|  325.26|   -1.97
 3398|  325.90|   -1.22
19131|  323.77|   -3.91
17798|  325.24|   -2.12
 3401|  327.02|    0.12
 3402|  326.94|   -0.01
 3404|  327.08|    0.01
14294|  323.43|   -4.57
17799|  325.47|   -2.02
16774|  349.57|   25.54
18052|  327.42|    0.31
 3403|  322.11|   -6.34
 3405|  327.08|   -0.19
14296|  332.25|    6.17
17800|  325.08|   -2.70
19014|  319.25|   -9.86
 3406|  325.10|   -2.73
14295|  323.85|   -4.28
 3407|  325.09|   -2.77
16733|  340.57|   15.82
15017|  346.10|   21.71
15016|  326.79|   -0.73
 3412|  330.62|    3.80
18027|  327.15|   -0.55
 3410|  326.93|   -0.82
 3411|  327.18|   -0.52
14297|  326.74|   -1.07
18026|  327.24|   -0.47
18053|  327.51|   -0.15
14298|  328.14|    0.56
 3413|  326.19|   -1.83
 3408|  322.57|   -6.23
 3409|  323.77|   -4.79
16734|  350.72|   25.38
 3415|  334.64|    8.25
14299|  329.84|    2.47
17802|  327.59|   -0.28
17478|  346.88|   21.61
 3414|  324.07|   -4.61
17801|  325.27|   -3.18
15018|  347.51|   22.15
16800|  347.93|   22.55
 3417|  326.98|   -1.24
 3416|  326.70|   -1.57
 3419|  327.10|   -1.14
15019|  347.12|   21.51
 3420|  327.90|   -0.28
14301|  333.52|    6.38
19479|  327.04|   -1.40
 3421|  327.46|   -0.92
14300|  327.98|   -0.30
 3423|  327.56|   -0.83
16441|   31.61|   46.96
19480|  327.53|   -0.87
18028|  327.51|   -0.91
 3422|  326.51|   -2.11
18025|  327.66|   -0.76
 3418|  320.13|   -9.66
14303|  327.41|   -1.11
18023|  327.88|   -0.55
 3424|  327.57|   -0.93
18056|  327.94|   -0.54
14304|  326.01|   -2.84
14305|  326.61|   -2.13
18999|  306.26|  -24.18
14302|  320.17|   -9.70
 3427|  328.96|    0.62
 3426|  328.04|   -0.49
18952|  338.65|   11.89
 3425|  327.42|   -1.24
 3428|  328.05|   -0.51
15020|  344.63|   18.27
18054|  327.93|   -0.67
19481|  327.38|   -1.35
17803|  325.82|   -3.21
 3429|  327.95|   -0.76
 3430|  328.20|   -0.48
14306|  326.22|   -2.84
 3431|  327.08|   -1.87
14307|  336.69|    9.35
 3432|  327.85|   -0.97
 3433|  327.96|   -0.84
17804|  326.88|   -2.12
19132|  331.11|    2.87
18055|  327.70|   -1.16
 3434|  328.34|   -0.46
15916|  356.39|   28.63
18024|  327.91|   -0.98
 3435|  328.04|   -0.84
 3437|  328.32|   -0.52
 3436|  327.66|   -1.31
15022|  348.12|   21.20
19133|  327.53|   -1.52
14814|  347.21|   20.23
17805|  328.30|   -0.70
 3440|  328.08|   -0.97
19482|  328.49|   -0.53
15788|  328.49|   -0.54
 3439|  325.31|   -4.27
19483|  328.43|   -0.66
 3441|  330.37|    1.60
18022|  328.43|   -0.66
15796|  328.44|   -0.67
 3442|  330.74|    1.99
18041|  327.42|   -1.91
15021|  328.43|   -0.76
 3443|  328.22|   -1.03
15023|  338.77|   11.01
19134|  330.12|    1.12
14815|  350.10|   22.49
 3444|  328.56|   -0.72
18029|  329.78|    0.64
18035|  328.79|   -0.53
 3446|  330.71|    1.68
 3445|  328.38|   -1.08
 3438|  317.34|  -13.47
14308|  328.54|   -1.00
 3447|  328.55|   -1.02
17806|  327.33|   -2.43
 3448|  328.63|   -0.97
14309|  328.11|   -1.57
17876|  331.33|    2.11
 3450|  328.76|   -0.86
 3449|  328.15|   -1.58
19135|  328.81|   -0.83
19484|  330.16|    0.71
19136|  330.72|    1.26
19485|  329.20|   -0.48
17928|  322.18|   -8.42
16217|  320.37|  -10.41
17807|  329.14|   -0.59
16442|   72.69|   47.98
14310|  326.10|   -4.06
 3451|  328.67|   -1.15
19137|  328.10|   -1.82
15789|  328.92|   -0.90
14312|  332.29|    2.91
15024|  339.12|   10.43
14311|  324.30|   -6.19
 3453|  329.05|   -0.85
19138|  328.28|   -1.73
14313|  328.53|   -1.48
 3452|  324.55|   -5.97
 3454|  327.19|   -3.04
 3456|  331.64|    1.95
14314|  333.23|    3.74
 3455|  328.01|   -2.22
14315|  331.60|    1.79
17808|  330.32|    0.35
17913|  329.87|   -0.18
 3457|  328.14|   -2.14
 3458|  328.25|   -2.05
17809|  328.25|   -2.08
19139|  329.16|   -1.08
 3459|  328.41|   -1.93
14316|  329.46|   -0.76
18037|  328.35|   -2.06
 3460|  329.02|   -1.31
14816|  353.19|   23.60
15975|  353.20|   23.60
19140|  331.17|    1.04
17525|  319.30|  -11.98
19141|  327.63|   -2.98
18953|  341.08|   11.72
 3461|  329.94|   -0.48
16360|  340.83|   11.32
 3462|  329.05|   -1.57
14817|  352.75|   22.77
17821|  332.71|    2.46
17810|  329.35|   -1.30
 3464|  329.86|   -0.74
 3463|  329.11|   -1.57
 3467|  329.94|   -0.70
 3466|  329.13|   -1.60
14317|  327.64|   -3.33
 3465|  325.85|   -5.31
15025|  349.99|   19.97
 3468|  329.66|   -1.16
14318|  327.22|   -3.83
 3469|  330.38|   -0.38
14319|  328.57|   -2.36
 3471|  333.37|    2.88
 3470|  330.95|    0.23
19142|  331.46|    0.66
17182|  350.73|   20.37
17812|  333.14|    2.47
14320|  329.07|   -2.01
 3472|  330.81|   -0.12
17811|  329.35|   -1.73
 3473|  331.48|    0.59
 3479|  338.21|    7.81
 3475|  332.45|    1.58
14321|  324.88|   -6.62
14323|  328.16|   -3.10
18896|  348.17|   17.78
 3476|  332.25|    1.30
14322|  326.37|   -5.08
 3477|  331.51|    0.44
 3480|  332.87|    1.91
 3474|  327.03|   -4.42
 3478|  329.69|   -1.60
 3481|  331.00|   -0.18
19143|  328.23|   -3.19
 3482|  331.06|   -0.13
 3483|  333.00|    1.95
 3484|  333.01|    1.93
17813|  329.98|   -1.35
 3485|  332.97|    1.86
14325|  328.69|   -2.77
 3490|  334.40|    3.35
 3486|  332.96|    1.81
17814|  329.40|   -2.03
14324|  328.23|   -3.32
 3489|  333.03|    1.84
 3491|  333.18|    2.01
 3493|  333.13|    1.91
14326|  326.42|   -5.31
 3494|  331.98|    0.63
 3488|  329.39|   -2.16
 3492|  331.15|   -0.27
18038|  329.03|   -2.54
 3487|  329.15|   -2.42
15790|  329.36|   -2.21
19144|  331.41|   -0.03
19431|  348.58|   17.50
14327|  331.36|   -0.15
 3496|  331.44|   -0.13
 3498|  331.71|    0.16
 3497|  331.48|   -0.08
16443|  354.61|   22.70
15806|  354.61|   22.70
 3499|  332.29|    0.77
 3500|  332.94|    1.45
 3495|  328.50|   -3.31
15026|  348.12|   16.84
18039|  329.48|   -2.33
 3507|  336.13|    4.72
 3505|  333.63|    2.05
 3503|  332.49|    0.83
14329|  343.30|   11.99
 3501|  329.44|   -2.47
 3506|  331.44|   -0.36
14328|  329.82|   -2.08
 3502|  329.74|   -2.17
 3508|  331.90|    0.11
19783|   40.47|   44.68
 3504|  329.63|   -2.29
16037|  332.37|    0.59
 3509|  331.70|   -0.16
14330|  333.72|    1.88
 3512|  331.95|    0.00
 3511|  331.20|   -0.79
19145|  329.34|   -2.79
 3510|  329.35|   -2.79
15791|  331.24|   -0.81
 9312|  359.51|   25.93
 3513|  329.24|   -2.93
 3514|  331.90|   -0.15
 3515|  331.28|   -0.88
18033|  330.71|   -1.48
17815|  330.35|   -1.87
 3516|  331.77|   -0.38
 3518|  332.26|    0.12
14332|  331.20|   -1.00
14331|  329.09|   -3.24
16323|  350.39|   18.12
 3519|  331.99|   -0.21
 3522|  332.71|    0.51
 3523|  334.45|    2.32
 3520|  331.28|   -1.01
 3521|  331.35|   -0.94
18154|  332.25|   -0.04
18155|  332.10|   -0.22
14333|  330.88|   -1.50
16000|  332.23|   -0.10
18040|  329.46|   -3.00
 3524|  331.29|   -1.12
19146|  331.01|   -1.47
15792|  331.36|   -1.11
 3517|  323.73|   -8.96
16001|  337.74|    5.45
18919|  348.80|   16.26
18036|  330.50|   -2.09
 3526|  332.71|    0.19
19487|  351.56|   18.68
 3525|  331.45|   -1.14
 3529|  332.62|    0.04
 3527|  331.64|   -0.98
 3528|  331.55|   -1.07
 3530|  331.70|   -0.96
15904|  347.49|   14.85
18030|  331.63|   -1.05
 3531|  331.83|   -0.86
18461|  331.91|   -0.79
15793|  331.68|   -1.04
 3533|  331.89|   -0.87
 3534|  331.45|   -1.37
 3532|  328.15|   -4.76
19147|  331.29|   -1.54
 3535|  331.57|   -1.28
19148|  331.32|   -1.54
 3537|  332.45|   -0.38
 3536|  332.01|   -0.84
14334|  330.70|   -2.20
17816|  331.09|   -1.80
17370|  327.71|   -5.31
 3538|  331.00|   -1.95
17877|  333.77|    0.87
 3539|  331.86|   -1.08
18031|  331.85|   -1.11
19149|  331.38|   -1.60
18032|  331.81|   -1.17
 3540|  332.24|   -0.75
17817|  335.88|    2.95
 3542|  332.38|   -0.65
17914|  327.87|   -5.24
14335|  333.68|    0.67
 3541|  331.64|   -1.42
 3545|  333.36|    0.32
 3544|  332.26|   -0.80
 3543|  331.67|   -1.41
18156|  332.58|   -0.49
 3547|  332.57|   -0.54
 3546|  331.62|   -1.53
 3548|  332.69|   -0.43
19150|  332.02|   -1.12
 3549|  332.20|   -0.97
18462|  332.44|   -0.74
14336|  328.28|   -4.97
 3550|  331.97|   -1.25
14337|  327.82|   -5.45
 3551|  332.07|   -1.16
 3553|  333.54|    0.33
 3552|  332.35|   -0.89
19151|  331.47|   -1.79
18463|  332.08|   -1.17
18904|  347.82|   14.33
17369|  327.82|   -5.48
15092|   72.49|   45.04
 3555|  333.10|   -0.19
 3554|  332.55|   -0.76
16752|  332.77|   -0.63
 3556|  331.96|   -1.46
14338|  329.69|   -3.77
 3557|  332.21|   -1.23
14340|  335.83|    2.40
 3558|  332.63|   -0.83
 3559|  333.84|    0.39
19152|  331.98|   -1.49
 3560|  332.54|   -0.97
 3561|  333.24|   -0.26
14339|  331.84|   -1.67
 3566|  341.55|    8.02
19033|  326.30|   -7.26
15794|  332.00|   -1.59
19153|  331.71|   -1.89
14818|  351.31|   17.00
 3563|  333.69|    0.09
 3564|  333.88|    0.28
16775|  352.80|   18.24
 3562|  331.44|   -2.20
 3565|  333.55|   -0.09
14341|  331.79|   -1.90
 3568|  333.84|    0.13
 3569|  333.95|    0.23
 3571|  333.93|    0.20
19154|  332.93|   -0.80
 3570|  333.65|   -0.08
 3567|  332.55|   -1.19
 3572|  332.80|   -0.98
 3573|  331.74|   -2.07
 3575|  334.28|    0.44
 3579|  337.28|    3.42
14342|  331.98|   -1.87
 3574|  330.46|   -3.39
15027|  334.01|    0.12
 3577|  333.87|   -0.05
 3576|  331.49|   -2.44
 3580|  333.18|   -0.80
14066|  337.48|    3.41
 3585|  334.83|    0.79
 3578|  330.23|   -3.77
 3582|  333.05|   -0.98
 3583|  332.35|   -1.70
 3584|  331.88|   -2.18
 3586|  332.85|   -1.24
18920|  351.84|   16.74
 3587|  334.31|    0.16
 3589|  334.90|    0.75
14343|  331.68|   -2.45
 9313|    2.67|   25.22
 3588|  332.34|   -1.84
 3581|  327.87|   -6.21
 3590|  332.24|   -1.96
14344|  329.99|   -4.18
14345|  332.47|   -1.76
16002|  334.82|    0.54
 3594|  334.53|    0.24
14346|  330.19|   -4.04
14347|  330.55|   -3.71
 3595|  332.84|   -1.48
 3597|  334.78|    0.42
16361|  342.87|    8.27
 3593|  330.64|   -3.67
 3596|  331.49|   -2.86
 3592|  329.66|   -4.65
 3598|  334.89|    0.46
 3599|  334.20|   -0.24
 3591|  326.77|   -7.49
 3600|  332.84|   -1.62
19018|  321.34|  -12.58
14602|  352.86|   17.04
 3601|  332.61|   -1.94
15029|  353.69|   17.69
15028|  353.69|   17.69
 3603|  334.43|   -0.18
 3602|  333.35|   -1.26
 3607|  337.28|    2.56
 3604|  332.80|   -1.83
 3605|  334.09|   -0.60
14348|  329.95|   -4.66
14349|  341.68|    6.65
 3608|  332.86|   -1.87
 9314|   11.56|   30.10
15795|  331.58|   -3.18
14350|  335.61|    0.68
17818|  338.68|    3.62
15807|  357.93|   20.68
 3609|  330.65|   -4.15
14351|  331.91|   -2.97
 3610|  334.27|   -0.70
 3606|  325.74|   -8.86
14352|  331.31|   -3.61
19155|  333.20|   -1.85
14353|  331.76|   -3.24
17878|  338.62|    3.34
 3611|  334.66|   -0.49
16521|  101.11|   37.87
 3612|  333.25|   -1.88
19156|  333.30|   -1.85
16362|  328.12|   -6.78
 3613|  334.63|   -0.60
 3616|  335.32|    0.03
 3615|  334.86|   -0.42
16180|    6.01|   26.02
14355|  331.36|   -3.78
 3617|  334.84|   -0.49
14354|  328.67|   -6.34
 9315|    4.83|   25.17
 3621|  338.01|    2.52
14356|  338.18|    2.67
16003|  335.59|    0.17
 3614|  330.21|   -4.97
 3619|  334.98|   -0.44
 3620|  333.51|   -1.89
 3624|  338.49|    2.85
 3618|  332.72|   -2.65
 3623|  334.05|   -1.44
 3625|  337.25|    1.58
 3626|  338.23|    2.48
17819|  338.17|    2.39
 3622|  329.43|   -5.90
 3627|  335.22|   -0.46
15030|  353.10|   15.80
14357|  343.05|    6.87
 3631|  343.38|    7.15
 9316|    7.96|   26.71
 3629|  333.11|   -2.53
17820|  338.40|    2.43
 3628|  329.92|   -5.60
 3632|  337.23|    1.25
 3630|  333.46|   -2.32
15031|  345.94|    9.22
14358|  330.36|   -5.27
17879|  335.36|   -0.63
 3633|  336.34|    0.26
 3636|  340.72|    4.35
14359|  331.04|   -4.71
 3634|  335.17|   -0.89
 3635|  335.52|   -0.58
 3639|  342.47|    5.86
19000|  307.93|  -23.87
 3637|  334.17|   -1.96
16576|   21.01|   33.25
16137|  328.15|   -7.52
 3638|  333.12|   -2.98
 3643|  343.74|    6.83
14360|  332.98|   -3.14
 3640|  335.22|   -1.09
14361|  340.77|    4.03
16868|  336.06|   -0.37
 3641|  334.71|   -1.63
 3644|  335.71|   -0.78
14362|  340.53|    3.66
 3645|  335.57|   -0.92
 3642|  332.61|   -3.67
 3646|  336.37|   -0.22
 3647|  335.41|   -1.14
 3654|  339.38|    2.51
 3649|  335.78|   -0.81
 3650|  335.83|   -0.77
 3648|  335.30|   -1.26
 3661|  341.88|    4.76
16869|  335.43|   -1.17
 3652|  335.67|   -0.97
 3651|  335.21|   -1.40
 9317|   11.82|   27.90
 3664|  344.01|    6.66
 3653|  335.30|   -1.32
 9318|    9.85|   26.69
14364|  341.31|    4.17
 3656|  335.92|   -0.80
14363|  337.27|    0.44
16261|  323.06|  -12.32
16871|  335.18|   -1.50
 3655|  335.23|   -1.45
 3657|  335.40|   -1.30
 3658|  335.52|   -1.20
 3659|  335.58|   -1.16
19012|  319.89|  -15.00
14367|  346.81|    8.99
14368|  346.69|    8.84
 3663|  335.28|   -1.50
14366|  339.26|    2.14
 3660|  332.98|   -3.61
 3662|  333.87|   -2.81
14365|  332.44|   -4.13
 3665|  335.99|   -0.92
 3666|  336.68|   -0.29
14370|  340.98|    3.58
 3668|  338.42|    1.23
14369|  338.38|    1.18
 3671|  341.01|    3.58
14819|  351.53|   12.81
 3667|  336.15|   -0.88
 3670|  337.63|    0.45
 3669|  335.78|   -1.28
 9319|    8.35|   25.18
 3672|  340.54|    3.00
17880|  338.03|    0.72
 3680|  348.99|   10.47
16872|  335.40|   -1.73
 3673|  336.14|   -1.10
14747|   31.37|   36.23
 3674|  335.82|   -1.42
 3675|  336.31|   -0.97
17881|  338.79|    1.27
 3677|  336.40|   -0.89
19020|  322.89|  -12.78
 3676|  335.47|   -1.75
 3682|  346.51|    8.15
14820|    6.28|   23.59
 3679|  337.47|    0.03
 3678|  333.17|   -3.90
17882|  338.47|    0.79
 3683|  336.76|   -0.79
 3681|  336.28|   -1.22
16873|  336.18|   -1.32
 3686|  339.24|    1.38
15033|  340.39|    2.37
 3684|  334.46|   -2.96
16874|  336.36|   -1.26
 3685|  334.71|   -2.75
 3687|  336.30|   -1.34
 3688|  338.77|    0.87
14371|  339.88|    1.80
 3689|  334.87|   -2.73
16038|  336.35|   -1.42
 3692|  348.37|    9.16
16895|  335.85|   -1.89
 3690|  333.68|   -3.84
16875|  336.45|   -1.41
 3691|  336.30|   -1.54
16876|  336.10|   -1.77
19009|  317.79|  -17.16
14372|  340.69|    2.26
 3693|  338.88|    0.62
14375|  345.80|    6.71
19037|  327.59|   -9.28
14374|  343.56|    4.72
 3697|  344.32|    5.38
16896|  336.50|   -1.56
 3694|  336.53|   -1.56
 3706|  349.69|    9.91
14373|  332.59|   -5.04
14377|  346.47|    7.15
 3708|  350.01|   10.15
 3695|  336.65|   -1.50
 3699|  342.12|    3.33
16138|  322.01|  -13.97
 3696|  337.42|   -0.83
 3698|  337.42|   -0.86
18926|  351.89|   11.62
14376|  337.45|   -0.87
 3709|  347.73|    8.08
 3703|  337.26|   -1.09
 3700|  336.71|   -1.57
 3701|  336.71|   -1.57
16898|  336.73|   -1.56
 3702|  336.72|   -1.57
15032|  321.70|  -14.29
 3705|  338.11|   -0.37
16900|  336.90|   -1.46
 3704|  336.73|   -1.61
16877|  336.75|   -1.59
16878|  336.72|   -1.62
14854|  336.08|   -2.20
19025|  324.39|  -12.16
 3707|  337.66|   -0.82
16879|  337.28|   -1.16
16880|  336.73|   -1.65
16909|  338.13|   -0.52
 3710|  338.13|   -0.54
19488|  358.91|   16.79
 3711|  340.31|    1.33
16881|  336.65|   -1.90
 3715|  345.10|    5.40
16882|  337.81|   -0.96
 3712|  337.33|   -1.42
 3714|  338.61|   -0.31
 3713|  337.86|   -0.98
16883|  337.28|   -1.49
 3720|  348.05|    7.78
 3725|  348.36|    8.02
16901|  336.49|   -2.22
 3716|  339.46|    0.30
18879|    1.34|   18.16
 3718|  337.93|   -1.07
 3717|  337.84|   -1.15
19010|  315.92|  -18.90
 3723|  339.00|   -0.20
 3719|  337.99|   -1.08
 3721|  338.11|   -0.98
 3726|  342.17|    2.53
19019|  323.20|  -13.45
 3722|  338.05|   -1.05
 3724|  337.37|   -1.65
18927|  355.97|   13.89
 3727|  339.70|    0.32
16902|  337.86|   -1.28
16884|  338.04|   -1.13
16885|  338.04|   -1.13
16870|  338.38|   -0.86
 3730|  340.37|    0.84
 3728|  338.13|   -1.10
16903|  337.57|   -1.59
16502|  342.80|    2.87
 3729|  338.04|   -1.22
19035|  325.90|  -11.43
 3733|  339.18|   -0.31
 3732|  338.18|   -1.16
 3737|  350.02|    8.87
16905|  338.06|   -1.28
 3731|  336.95|   -2.24
16444|   18.32|   28.22
14379|  345.25|    4.76
 3735|  337.82|   -1.59
 3734|  335.08|   -3.95
 3736|  340.54|    0.71
16908|  338.54|   -1.03
 3744|  349.59|    8.32
14378|  334.61|   -4.43
16039|  343.01|    2.72
16910|  338.51|   -1.12
 3738|  338.09|   -1.48
16911|  338.50|   -1.13
 3749|  351.40|    9.71
15034|  329.77|   -8.48
19691|  339.94|    0.07
16912|  338.60|   -1.09
16913|  338.63|   -1.07
16886|  338.20|   -1.44
 3739|  338.56|   -1.13
 3745|  342.72|    2.41
16906|  338.53|   -1.16
 3740|  338.56|   -1.14
 3748|  343.01|    2.63
 3741|  338.56|   -1.15
16503|  343.09|    2.69
 3742|  338.31|   -1.39
 3743|  338.36|   -1.35
 9320|    9.25|   22.61
 3746|  339.51|   -0.41
20169|  339.53|   -0.40
20170|  339.53|   -0.40
20148|  339.54|   -0.39
20171|  339.54|   -0.41
20154|  339.55|   -0.40
20160|  339.54|   -0.40
20137|  339.54|   -0.41
20159|  339.55|   -0.40
20140|  339.54|   -0.41
20166|  339.55|   -0.40
20150|  339.56|   -0.39
20149|  339.56|   -0.39
20153|  339.55|   -0.40
20167|  339.55|   -0.40
20168|  339.55|   -0.40
20151|  339.56|   -0.39
 3747|  338.43|   -1.35
20102|  339.54|   -0.41
20164|  339.55|   -0.40
20163|  339.56|   -0.40
20152|  339.56|   -0.40
20165|  339.55|   -0.40
20146|  339.53|   -0.42
20162|  339.56|   -0.40
20161|  339.56|   -0.40
20158|  339.55|   -0.41
20156|  339.56|   -0.40
20155|  339.56|   -0.40
20157|  339.56|   -0.40
20144|  339.56|   -0.41
20142|  339.56|   -0.41
 3751|  343.05|    2.54
 3752|  342.80|    2.31
15035|  329.98|   -8.47
16907|  338.33|   -1.51
 3753|  342.67|    2.17
 3754|  341.88|    1.45
 3758|  343.24|    2.53
 3750|  335.11|   -4.32
 3757|  342.60|    1.99
 3755|  338.61|   -1.41
19337|  343.86|    3.01
16887|  338.60|   -1.44
 3761|  350.82|    8.75
 3756|  338.58|   -1.46
 3759|  338.60|   -1.49
 3762|  344.41|    3.27
 3760|  338.70|   -1.52
16888|  337.88|   -2.22
16004|  335.16|   -4.55
16497|  343.66|    2.54
 3764|  342.42|    1.40
 3765|  342.81|    1.70
14380|  338.88|   -1.59
 3773|  351.04|    8.45
 3766|  341.79|    0.83
 3770|  345.48|    3.90
 3767|  343.47|    2.21
 3768|  343.13|    1.91
 3775|  350.73|    8.11
 3772|  342.81|    1.60
 3763|  334.24|   -5.52
 3774|  346.30|    4.47
 3771|  339.69|   -1.04
 3769|  338.92|   -1.69
16889|  338.57|   -2.02
 3776|  343.12|    1.73
16139|  317.02|  -18.68
 3777|  341.76|    0.57
20045|  346.42|    4.38
 3778|  342.42|    1.02
 3780|  344.76|    2.91
 3779|  341.15|   -0.10
15036|  343.62|    1.94
 3781|  343.20|    1.59
 9321|    3.88|   17.61
16776|  356.63|   12.28
14821|  346.12|    3.91
 3786|  348.91|    6.18
 3783|  345.21|    3.13
 3782|  338.30|   -2.58
16483|  343.41|    1.59
 3785|  343.22|    1.43
15037|  346.20|    3.86
14381|  345.90|    3.57
16484|  343.64|    1.70
 3787|  342.93|    1.12
 3784|  339.06|   -2.06
 3789|  343.29|    1.40
 3790|  343.33|    1.41
 3797|  350.86|    7.50
 3791|  343.50|    1.52
16055|  343.52|    1.52
14382|  343.65|    1.62
14383|  351.09|    7.60
 3794|  343.41|    1.40
14384|  351.45|    7.88
17712|  343.37|    1.36
 3792|  341.14|   -0.47
 3793|  341.86|    0.10
16485|  343.71|    1.60
16005|  343.62|    1.53
 3796|  343.19|    1.17
16957|  343.30|    1.25
 3801|  348.95|    5.82
16956|  343.33|    1.25
 3795|  340.61|   -0.98
 3798|  343.15|    1.10
 3788|  334.99|   -5.54
19034|  327.91|  -11.12
 3814|  353.92|    9.67
 3800|  343.43|    1.28
14385|  343.79|    1.57
