ALS|GLON(deg)|GLAT(deg)
 6293|  121.76|    1.07
 6294|  121.76|    0.58
 6296|  121.78|    0.57
 6295|  121.91|    4.00
 6297|  121.68|   -1.98
14639|  120.79|  -23.23
 6299|  121.77|    0.09
 6298|  121.89|    3.11
 6300|  121.85|    1.48
 6301|  121.85|    0.75
16378|  121.41|  -12.33
 6302|  121.95|    1.20
16401|  121.77|   -4.10
 6303|  121.94|    0.39
 6304|  122.00|    1.44
 6305|  121.88|   -2.60
 6306|  121.88|   -2.38
 6307|  121.95|   -0.62
 6308|  122.05|    2.06
 6310|  121.97|   -0.95
 6309|  122.05|    1.43
 6311|  121.93|   -2.58
 6312|  122.08|    1.90
 6313|  122.10|    1.32
 6315|  121.99|   -2.45
 6314|  122.11|    1.19
 6316|  122.06|   -0.77
 6317|  122.15|    1.60
 6318|  122.05|   -2.58
 6320|  122.11|   -1.86
 6319|  122.19|    1.05
16379|  121.78|  -14.57
 6321|  122.21|    1.38
 6322|  122.21|    1.47
 6323|  122.24|    2.40
 6324|  122.21|    0.93
 6325|  122.11|   -3.28
 6326|  122.25|    1.53
 6328|  122.25|    1.10
 6327|  122.26|    1.53
 6330|  122.25|    0.85
 6329|  122.27|    1.54
 6331|  122.28|    0.49
 6332|  122.16|   -4.82
 6333|  122.31|    1.26
 6335|  122.15|   -6.09
 6334|  122.33|    1.54
 6336|  122.33|    0.37
 6337|  122.36|    1.63
16528|  121.95|  -18.00
 6338|  122.39|    2.24
 6339|  122.40|    2.45
 6341|  122.34|   -1.21
 6340|  122.39|    1.51
 6342|  122.42|    1.59
 6343|  122.51|    5.46
 6344|  122.46|    2.47
 6345|  122.41|   -0.72
17217|  118.86|  -74.71
 6346|  122.42|   -0.83
14640|  122.22|  -15.06
 6348|  122.42|   -2.84
 6347|  122.48|    0.55
16639|  121.32|  -52.88
 6349|  122.53|    2.04
16529|  122.69|   11.98
19952|  122.38|  -11.42
 6350|  122.55|   -0.73
 6351|  122.57|    0.12
 6352|  122.61|    0.71
 6353|  122.61|   -0.70
 6354|  122.62|   -1.26
16402|  122.51|  -11.90
 6355|  122.68|    2.68
 6356|  122.62|   -4.44
 6358|  122.66|   -1.02
 6357|  122.69|    2.26
14570|  122.69|    1.32
 6359|  122.69|    1.46
 6360|  122.71|    1.00
 6361|  122.75|    2.64
 6362|  122.75|    1.20
 6363|  122.73|   -1.88
 6364|  122.77|    1.77
 6366|  122.79|   -1.97
 6365|  122.80|    0.30
 6367|  122.80|   -3.14
 6368|  122.81|   -3.20
 6369|  122.83|   -0.51
 6370|  122.89|    0.78
 6371|  122.89|    0.78
 6372|  122.91|    0.28
 6373|  122.92|   -1.57
 6374|  122.93|    0.91
17223|  122.94|   -6.21
 6375|  122.95|    1.10
 6376|  122.96|    1.16
 6377|  122.96|   -1.86
 6378|  122.98|    2.31
 6380|  123.00|   -0.18
17225|  123.01|   -6.27
 6379|  123.00|    1.43
 6383|  123.05|   -6.22
 6382|  123.03|   -2.78
 6381|  123.02|    1.81
 6384|  123.04|    1.21
14571|  123.05|    1.68
 6385|  123.09|   -6.27
 6386|  123.11|   -6.25
17224|  123.12|   -6.22
 6388|  123.12|   -6.25
 6389|  123.12|   -6.24
16471|  123.12|   -6.24
19498|  123.12|   -6.24
 6387|  123.11|   -2.24
19787|  300.97|  -80.77
 6391|  123.22|   -6.23
 6392|  123.20|   -2.09
 6390|  123.14|    4.60
 6393|  123.18|    1.89
 6394|  123.22|   -2.04
 6396|  123.28|   -6.30
 6395|  123.25|   -2.86
 6397|  123.25|   -0.05
 6398|  123.28|   -2.53
 6399|  123.30|    1.22
14572|  123.32|    0.61
 6400|  123.41|   -4.48
 6401|  123.34|    2.38
 6402|  123.40|   -1.60
 6403|  123.42|   -2.02
 6404|  123.43|   -1.35
14573|  123.42|    1.12
16517|  123.51|   -1.61
 6405|  123.50|   -1.11
 6406|  123.49|    1.31
 6407|  123.58|   -2.14
 6408|  123.64|   -5.27
 6409|  123.52|    1.67
14574|  123.58|    0.41
 6410|  123.61|    0.11
 6411|  123.59|    2.00
 6412|  123.71|   -2.62
 6413|  123.68|   -0.98
 6414|  123.85|   -6.43
 6416|  123.88|   -7.03
 6415|  123.72|   -0.57
 6417|  123.74|   -0.93
 6418|  123.77|   -2.11
 6420|  123.81|   -3.20
 6419|  123.71|    0.85
 6421|  123.79|   -2.06
15798|  268.05|  -87.27
 6422|  123.72|    1.43
 6423|  123.83|    0.18
 6424|  123.90|   -1.27
 6425|  123.86|    0.75
 6426|  123.83|    1.80
 6428|  123.89|    0.42
 6427|  123.87|    0.96
 6429|  123.89|    0.91
14575|  123.86|    1.79
 6430|  124.07|   -3.71
 6431|  123.96|    0.18
16155|  123.96|    1.09
 6432|  123.95|    1.41
 6433|  124.01|    0.61
 6434|  124.02|    0.59
16153|  124.00|    1.10
 6437|  124.24|   -4.96
 6435|  123.94|    3.06
 6436|  124.02|    1.10
16152|  124.02|    1.11
 6438|  124.03|    1.09
16154|  124.03|    1.09
 6439|  124.07|    0.59
 6440|  124.16|   -1.19
 6442|  124.09|    0.92
 6441|  123.90|    5.69
 6444|  124.31|   -3.86
 6443|  124.13|    0.55
 6445|  124.19|    0.14
14576|  124.18|    1.16
17651|  124.35|   -2.71
 6447|  124.20|    1.44
 6446|  124.08|    4.10
17226|  302.14|  -38.76
14641|  125.10|  -15.18
 6448|  124.42|   -1.02
17652|  124.42|   -0.42
 6449|  124.36|    0.87
 6450|  124.35|    0.94
 6452|  124.56|   -2.49
 6451|  124.23|    4.07
 6453|  124.65|   -2.41
 6454|  124.49|    1.06
17437|  127.34|  -41.28
 6455|  124.71|   -2.63
 6456|  124.54|    0.94
14642|  124.89|   -5.06
 6457|  124.65|   -0.65
 6458|  124.78|   -2.38
19768|  124.68|   -0.57
19767|  124.69|   -0.61
19770|  124.69|   -0.61
 6459|  124.84|   -3.12
19773|  124.69|   -0.61
19769|  124.69|   -0.59
19771|  124.69|   -0.59
 6460|  124.89|   -3.91
19772|  124.69|   -0.59
19774|  124.70|   -0.60
 6461|  124.87|   -3.14
19775|  124.72|   -0.61
 6462|  124.68|    0.61
19894|  125.56|  -13.24
 6463|  124.89|   -2.18
16519|  124.84|   -0.48
 6465|  124.95|   -2.01
 6464|  124.77|    0.82
 6466|  124.97|   -2.25
17986|  126.05|  -17.97
 6467|  124.79|    0.75
17653|  124.90|   -0.56
 6468|  124.49|    6.00
 6469|  125.22|   -4.38
14577|  125.03|   -1.33
 6471|  124.95|   -0.01
 6473|  125.11|   -2.17
 6470|  124.48|    6.87
 6472|  124.91|    0.88
 6474|  124.92|    0.68
 6475|  125.27|   -3.99
16530|  126.11|  -15.52
 6476|  125.21|   -2.32
16520|  125.14|   -0.98
 6477|  125.52|   -5.26
