#    |              BAT_NAME|     RA|    DEC|     SNR|              COUNTERPART_NAME|                     OTHER_NAME| CTPT_RA|CTPT_DEC|    FLUX| FLUX_LO| FLUX_HI|CONTA|GAMM|GAMM|GAMM|  CHI_SQ_R|REDSHIF|  LUM|ASSOC_STREN|        CL2|                 TYPE
#    |                      |    deg|    deg|        |                              |                               |     deg|     deg|10^-12er|10^-12er|10^-12er|     |    |    |    |          |       |log  |           |           |
  35|SWIFT J0051.8-7320    | 12.699|-73.257|   14.48|RX J0052.1-7319               |                               | 13.0921|-73.3181|   15.76|   13.76|   17.54|  0.0|2.69|2.39|3.03|      1.10|       |     |           |        180|HMXB                
  36|SWIFT J0051.9+1724    | 12.974| 17.437|   17.75|Mrk1148                       |                               | 12.9783| 17.4329|   28.06|   25.45|   30.09|  0.0|2.25|2.06|2.47|      0.60| 0.0640| 44.4|           |         40|Sy1.5               
  37|SWIFT J0052.3-2730    | 13.027|-27.510|    4.77|2MASXJ00520383-2723488        |                               | 13.0158|-27.3969|    6.25|    3.68|    8.26|  0.0|2.19|1.39|3.32|      1.30| 0.6890| 46.1|           |         70|Unknown AGN         
  38|SWIFT J0053.3-7224    | 13.355|-72.406|    8.22|RX J0053.8-7226               |                               | 13.4790|-72.4460|   10.55|    8.53|   12.12|  0.0|2.53|2.12|3.04|      0.80|       |     |           |        180|HMXB                
  39|SWIFT J0054.9+2524    | 13.712| 25.443|    8.11|PG0052+251                    |                               | 13.7171| 25.4272|   13.85|   11.13|   15.96|  0.0|2.09|1.72|2.52|      1.80| 0.1550| 44.9|           |         40|Sy1.2               
  40|SWIFT J0055.4+4612    | 13.838| 46.206|   15.80|1RXS J005528.0+461143         |                               | 13.8329| 46.2158|   18.52|   16.80|   19.86|  0.0|3.02|2.75|3.33|      2.30|       |     |           |         90|CV                  
  41|SWIFT J0056.7+6043    | 14.170| 60.717|   75.52|Gamma Cas                     |                               | 14.1772| 60.7167|   83.44|   82.07|   84.70|  0.0|3.35|3.29|3.42|     11.00|       |     |           |        180|HMXB                
  42|SWIFT J0057.0+6405    | 14.202| 64.051|    5.80|NVSSJ005712+635942            |                               | 14.3036| 63.9952|    8.23|    6.13|   10.09|  0.0|2.33|1.81|3.00|      1.00|       |     |           |         80|Beamed AGN          
  43|SWIFT J0059.4+3150    | 14.986| 31.833|   16.60|Mrk352                        |                               | 14.9720| 31.8269|   31.13|   28.53|   33.52|  0.0|1.90|1.72|2.10|      0.30| 0.0140| 43.1|           |         40|Sy1.2               
  44|SWIFT J0100.9-4750    | 15.161|-47.871|    9.21|2MASXJ01003490-4752033        |                               | 15.1457|-47.8676|   15.70|   13.26|   17.92|  0.0|1.83|1.47|2.23|      0.50| 0.0480| 43.9|           |         50|Sy2                 
  45|SWIFT J0101.5-0308    | 15.262| -3.158|    4.39|2MASXJ01012440-0308399        |                               | 15.3517| -3.1445|    8.44|    6.81|   11.19|  0.0|1.80|1.02|2.76|      0.40| 0.0690| 43.9|           |         40|Sy1.8               
  46|SWIFT J0102.6-7242A   | 15.648|-72.735|    6.53|IGR J01054-7253               |                               | 16.1725|-72.9013|    3.42|    2.35|    5.02|  0.0|3.46|2.29|6.00|      1.00|       |     |           |        180|HMXB                
  47|SWIFT J0102.6-7242B   | 15.714|-72.749|    4.49|XTE J0103-728                 |                               | 15.7212|-72.7425|   13.42|   12.32|   15.30|  0.0|3.17|2.65|3.85|      0.50|       |     |           |        180|HMXB                
  48|SWIFT J0103.8-6437    | 15.950|-64.640|    7.19|PKS0101-649                   |                               | 15.8904|-64.6521|   14.30|   12.82|   16.78|  0.0|1.58|1.07|2.12|      1.20| 0.1630| 45.0|           |         80|Beamed AGN          
  49|SWIFT J0105.5-4213    | 16.349|-42.205|    7.47|MCG-7-3-7                     |                               | 16.3617|-42.2162|   14.43|   12.96|   16.88|  0.0|1.70|1.35|2.09|      1.00| 0.0300| 43.4|           |         50|Sy2                 
  50|SWIFT J0106.2-4704    | 16.497|-47.073|    5.06|ESO243-26                     |                               | 16.4082|-47.0717|    5.91|    4.09|    7.68|  0.0|2.59|1.83|3.74|      0.20| 0.0190| 42.7|           |         50|Sy2                 
  51|SWIFT J0105.7-1414    | 16.414|-14.260|    7.65|RBS149                        |                               | 16.4117|-14.2704|   11.08|    8.77|   13.28|  0.0|2.46|1.96|3.10|      0.20| 0.0660| 44.0|           |         50|Sy1.9               
  52|SWIFT J0105.6-3433    | 16.436|-34.556|    8.63|HE0103-3447                   |                               | 16.4442|-34.5292|   14.10|   11.59|   16.48|  0.0|2.04|1.67|2.49|      1.80| 0.0570| 44.0|           |         40|Sy1                 
  53|SWIFT J0106.8+0639    | 16.660|  6.628|    9.95|UM85                          |                               | 16.6886|  6.6339|   17.93|   15.14|   20.58|  0.0|2.04|1.67|2.47|      1.90| 0.0410| 43.8|           |         50|Sy2                 
  54|SWIFT J0107.7-1137A   | 16.986|-11.644|    7.49|1RXS J010737.5-113946         |                               | 16.9075|-11.6660|   15.27|    0.00|   43.59|  0.0|1.95|0.00|0.00|      0.00|       |     |           |         11|U2                  
  55|SWIFT J0107.7-1137B   | 16.907|-11.627|    8.40|2MASXJ01073963-1139117        |                               | 16.9152|-11.6532|   15.27|    0.00|   43.54|  0.0|1.95|0.00|0.00|      0.00| 0.0470| 43.9|           |         50|Sy2                 
  56|SWIFT J0107.7-1137C   | 16.873|-11.650|   10.74|1RXS J010713.0-113554         |                               | 16.8074|-11.6007|    2.56|    1.02|    4.02|  0.0|8.25|0.00|0.00|      1.20|       |     |           |         11|U2                  
  57|SWIFT J0109.0+1320    | 17.194| 13.353|   14.56|3C33                          |                               | 17.2203| 13.3372|   27.68|   25.10|   29.77|  0.0|1.97|1.76|2.19|      1.80| 0.0590| 44.3|           |         50|Sy2                 
  58|SWIFT J0111.4-3808    | 17.861|-38.098|   11.64|NGC424                        |                               | 17.8650|-38.0830|   21.51|   19.15|   24.47|  0.0|1.91|1.67|2.16|      0.60| 0.0110| 42.8|           |         50|Sy1.9               
  59|SWIFT J0113.8+2515    | 18.419| 25.294|    5.52|WISEJ011322.69+251853.2       |                               | 18.3446| 25.3148|    8.70|    6.27|   11.68|  0.0|2.09|1.37|3.02|      0.80| 0.6950| 46.2|           |         80|Beamed AGN          
