#|name              |ra        |dec      |flux_1_100_gev|flux_1_100_gev_error|detection_significance|spectrum_type   |alt_gammaray_name_1|assoc_name                  |analysis_flags|
|4FGL J0809.6+3455 |08 09 41.2|+34 55 31|    2.0260e-10|          3.0243e-11|               11.5660|PowerLaw        |3FGL J0809.6+3456  |B2 0806+35                  |           000|
|4FGL J1950.6+3456 |19 50 39.4|+34 56 36|    4.9230e-11|          1.4888e-11|                6.5429|LogParabola     |                   |2MASS J19502776+3456224     |          2048|
|4FGL J1635.6+3500 |16 35 36.2|+35 00 51|    1.7228e-10|          3.0122e-11|                7.3902|LogParabola     |                   |MG2 J163505+3458            |           000|
|4FGL J1808.2+3500 |18 08 15.8|+35 00 37|    4.5097e-10|          4.3316e-11|               14.7051|PowerLaw        |                   |MG2 J180813+3501            |           000|
|4FGL J0930.7+3502 |09 30 43.5|+35 02 00|    1.7884e-10|          2.5765e-11|                9.1574|PowerLaw        |                   |B2 0927+35                  |           000|
|4FGL J1453.5+3505 |14 53 34.1|+35 05 18|    2.1419e-10|          2.7535e-11|               10.9415|PowerLaw        |                   |MG2 J145315+3506            |           000|
|4FGL J0639.6+3503 |06 39 36.6|+35 03 31|    1.9205e-10|          3.5474e-11|                6.5155|PowerLaw        |                   |B2 0635+35                  |           000|
|4FGL J1215.1+3513 |12 15 11.0|+35 13 18|    2.2649e-10|          2.9025e-11|               11.1289|PowerLaw        |                   |7C 1212+3524                |           000|
|4FGL J0328.9+3514 |03 28 58.4|+35 14 56|    1.4599e-10|          3.6078e-11|                4.1191|PowerLaw        |                   |B2 0326+34                  |           000|
|4FGL J1909.5+3511 |19 09 32.2|+35 11 34|    1.1485e-10|          3.1740e-11|                5.4014|PowerLaw        |                   |TXS 1907+350                |           000|
|4FGL J1958.5+3512 |19 58 32.2|+35 12 09|    6.3254e-10|          8.2766e-11|                9.4187|PowerLaw        |                   |Cyg X-1                     |           004|
|4FGL J1626.3+3514 |16 26 19.7|+35 14 18|    1.2679e-10|          3.0599e-11|               10.4422|LogParabola     |3FGL J1626.1+3512  |RGB J1626+352               |           000|
|4FGL J0733.5+3517 |07 33 30.3|+35 17 38|    1.3234e-10|          2.7326e-11|                5.6927|PowerLaw        |                   |RX J0733.4+3515             |           000|
|4FGL J1808.8+3522 |18 08 52.9|+35 22 48|    2.0498e-10|          4.2157e-11|                6.8212|LogParabola     |3FGL J1809.0+3517  |2MASX J18084968+3520426     |           016|
|4FGL J0208.6+3523 |02 08 40.9|+35 23 50|    2.0150e-10|          3.2720e-11|               10.3000|PowerLaw        |3FGL J0208.6+3522  |MS 0205.7+3509              |           000|
|4FGL J0240.6+3528 |02 40 37.9|+35 28 34|    4.0436e-11|          1.4602e-11|                4.6409|LogParabola     |                   |87GB 023740.3+351636        |          2048|
|4FGL J0015.2+3537 |00 15 17.9|+35 37 02|    1.0142e-10|          2.7854e-11|                5.7716|PowerLaw        |                   |RX J0015.4+3536             |           000|
|4FGL J1111.0+3542 |11 11 05.7|+35 42 56|    1.2383e-10|          2.4834e-11|                7.0555|PowerLaw        |                   |FBQS J111056.8+353907       |           000|
|4FGL J0839.7+3540 |08 39 43.6|+35 40 24|    4.3974e-10|          4.0470e-11|               17.4890|LogParabola     |3FGL J0839.6+3538  |NVSS J083943+354001         |           000|
|4FGL J1221.9+3543 |12 21 57.5|+35 43 34|    9.2176e-11|          2.3198e-11|                4.2494|PowerLaw        |                   |SDSS J122211.42+354058.3    |           000|
|4FGL J0542.4+3547c|05 42 25.9|+35 47 06|    6.3662e-10|          9.9842e-11|                6.5869|LogParabola     |                   |NVSS J054218+354149         |           048|
|4FGL J1018.4+3540 |10 18 25.7|+35 40 49|    3.9566e-10|          3.5449e-11|               19.9331|LogParabola     |3FGL J1018.3+3542  |B2 1015+35B                 |           000|
|4FGL J1418.4+3543 |14 18 29.5|+35 43 09|    1.9944e-09|          6.6574e-11|               62.0735|LogParabola     |3FGL J1418.5+3543  |87GB 141615.9+355650        |           000|
|4FGL J2009.9+3544 |20 09 57.4|+35 44 46|    6.0928e-10|          1.0090e-10|                7.1445|PowerLaw        |                   |B2 2008+35                  |           000|
|4FGL J1857.8+3544 |18 57 49.5|+35 44 36|    9.3337e-11|          3.0304e-11|                4.6020|PowerLaw        |                   |NVSS J185744+354343         |           000|
|4FGL J1308.5+3547 |13 08 30.9|+35 47 30|    9.3961e-10|          4.9446e-11|               35.6283|LogParabola     |3FGL J1308.7+3545  |5C 12.291                   |           000|
|4FGL J0028.9+3553 |00 28 54.0|+35 53 25|    2.5120e-10|          3.3785e-11|                9.3360|PowerLaw        |                   |GB6 J0028+3550              |           002|
|4FGL J0955.1+3551 |09 55 07.6|+35 51 30|    9.4332e-11|          2.2021e-11|                6.6344|PowerLaw        |                   |1RXS J095508.2+355054       |           000|
|4FGL J2138.3+3556 |21 38 20.5|+35 56 38|    1.4366e-10|          3.5754e-11|                5.4128|PowerLaw        |                   |MG3 J213809+3553            |           000|
|4FGL J0221.1+3556 |02 21 07.4|+35 56 09|    7.4594e-09|          1.2504e-10|              126.6538|LogParabola     |3FGL J0221.1+3556  |B2 0218+357                 |           000|
|4FGL J1011.6+3600 |10 11 37.2|+36 00 51|    1.7248e-10|          2.9717e-11|                7.8628|LogParabola     |                   |NVSS J101147+360019         |           002|
|4FGL J0722.7+3606 |07 22 43.3|+36 06 49|    1.5067e-10|          2.7742e-11|                6.7192|PowerLaw        |                   |MG2 J072255+3606            |           000|
|4FGL J1448.0+3608 |14 48 04.1|+36 08 04|    1.6045e-09|          6.1691e-11|               54.4411|LogParabola     |3FGL J1448.0+3608  |RBS 1432                    |           000|
|4FGL J2207.0+3607 |22 07 05.6|+36 07 27|    1.2564e-10|          3.3366e-11|                5.3694|PowerLaw        |                   |1RXS J220708.5+360935       |           000|
|4FGL J0520.4+3607 |05 20 24.7|+36 07 11|    3.0746e-10|          6.1653e-11|                4.9000|PowerLaw        |                   |B2 0517+36                  |           004|
|4FGL J2013.5+3613 |20 13 32.3|+36 13 31|    1.5661e-09|          1.5326e-10|               11.9202|LogParabola     |3FGL J2014.4+3606  |SNR G073.9+00.9             |           000|
|4FGL J2127.7+3612 |21 27 43.5|+36 12 45|    1.1110e-09|          6.6014e-11|               28.0118|LogParabola     |3FGL J2127.7+3612  |B2 2125+35                  |           000|
|4FGL J0312.9+3614 |03 12 54.6|+36 14 03|    3.9556e-10|          4.3704e-11|               14.4466|PowerLaw        |3FGL J0312.7+3613  |V Zw 326                    |           000|
|4FGL J1425.0+3615 |14 25 00.5|+36 15 25|    6.5782e-10|          5.0650e-11|               26.6080|LogParabola     |3FGL J1424.9+3615  |FBQS J142455.5+361536       |           000|
|4FGL J1408.7+3617 |14 08 42.1|+36 17 19|    9.2352e-11|          2.0704e-11|                5.0238|PowerLaw        |                   |6C B140626.6+363154         |           000|
|4FGL J1127.8+3618 |11 27 51.3|+36 18 50|    9.7776e-10|          4.9688e-11|               33.0916|PowerLaw        |3FGL J1127.8+3618  |MG2 J112758+3620            |           000|
|4FGL J2210.5+3623 |22 10 30.2|+36 23 24|    1.2893e-10|          3.3928e-11|                4.4356|PowerLaw        |                   |WISEA J221029.68+362159.8   |           000|
|4FGL J0343.4+3621 |03 43 29.4|+36 21 23|    5.5797e-10|          6.3791e-11|               11.4444|LogParabola     |3FGL J0343.3+3622  |OE 367                      |           000|
|4FGL J1820.3+3624 |18 20 23.1|+36 24 06|    2.1304e-10|          3.1531e-11|               11.2617|PowerLaw        |3FGL J1820.3+3625  |NVSS J182021+362343         |           000|
|4FGL J2017.9+3625 |20 17 57.8|+36 25 40|    1.0670e-08|          2.8107e-10|               53.8668|PLSuperExpCutoff|3FGL J2017.9+3627  |PSR J2017+3625              |           000|
|4FGL J1426.4+3625 |14 26 28.5|+36 25 58|    1.4317e-10|          3.1427e-11|                4.7166|PowerLaw        |                   |B2 1424+36                  |           016|
|4FGL J1904.1+3627 |19 04 08.2|+36 27 09|    4.6732e-10|          4.3778e-11|               19.2397|PowerLaw        |3FGL J1904.5+3627  |MG2 J190411+3627            |           000|
|4FGL J1641.6+3622 |16 41 40.4|+36 22 35|    1.1645e-10|          2.9207e-11|                4.4906|LogParabola     |                   |M 13                        |           000|
|4FGL J1243.2+3627 |12 43 14.8|+36 27 31|    2.2787e-09|          7.2447e-11|               70.8665|LogParabola     |3FGL J1243.1+3627  |Ton 116                     |           000|
|4FGL J1635.6+3628 |16 35 41.5|+36 28 46|    2.5680e-10|          2.9964e-11|               12.3067|PowerLaw        |                   |MG3 J163554+3629            |           000|
|4FGL J2035.0+3632 |20 35 01.7|+36 32 14|    2.5051e-09|          1.3726e-10|               28.9708|PLSuperExpCutoff|3FGL J2035.0+3634  |PSR J2034+3632              |          2048|
|4FGL J2204.5+3634 |22 04 34.1|+36 34 08|    1.2625e-10|          3.4885e-11|                4.4946|PowerLaw        |                   |MG3 J220423+3632            |           000|
|4FGL J0815.6+3641 |08 15 37.8|+36 41 43|    1.4156e-10|          2.7932e-11|                5.6889|PowerLaw        |                   |OJ 320                      |           000|
|4FGL J0820.3+3639 |08 20 21.4|+36 39 55|    3.6935e-10|          3.5818e-11|               14.8558|PowerLaw        |3FGL J0820.4+3640  |MG2 J082018+3640            |           000|
|4FGL J0218.9+3643 |02 18 59.4|+36 43 03|    6.0119e-10|          5.0304e-11|               17.4810|LogParabola     |3FGL J0218.9+3642  |MG3 J021846+3641            |           000|
|4FGL J0042.0+3640 |00 42 01.3|+36 40 21|    1.5327e-10|          2.9918e-11|                7.0888|PowerLaw        |3FGL J0041.9+3639  |RX J0042.0+3641             |           000|
|4FGL J2030.0+3641 |20 30 02.1|+36 41 14|    8.1464e-09|          2.1189e-10|               56.8774|PLSuperExpCutoff|3FGL J2030.0+3642  |PSR J2030+3641              |           000|
|4FGL J1257.2+3646 |12 57 14.5|+36 46 14|    5.6354e-10|          4.2157e-11|               23.1814|LogParabola     |3FGL J1256.9+3649  |RX J1257.3+3647             |           000|
|4FGL J1430.5+3647 |14 30 33.5|+36 47 47|    1.0966e-10|          2.2977e-11|                5.4652|PowerLaw        |                   |TXS 1428+370                |           000|
|4FGL J0733.6+3649 |07 33 40.7|+36 49 21|    1.7013e-10|          2.8358e-11|                7.0344|PowerLaw        |                   |GB6 J0733+3650              |           000|
|4FGL J1516.8+3651 |15 16 53.2|+36 51 02|    1.5009e-10|          2.3931e-11|                7.9211|PowerLaw        |3FGL J1516.7+3648  |MG2 J151646+3650            |           000|
|4FGL J2021.1+3651 |20 21 07.1|+36 51 22|    7.1897e-08|          6.4409e-10|              196.0282|PLSuperExpCutoff|3FGL J2021.1+3651  |PSR J2021+3651              |          2048|
|4FGL J2108.0+3655 |21 08 00.8|+36 55 47|    4.9345e-10|          5.5811e-11|               14.7276|LogParabola     |3FGL J2108.0+3654  |TXS 2106+367                |           000|
|4FGL J1219.0+3653 |12 19 04.4|+36 53 18|    1.6931e-10|          3.0898e-11|                7.0869|LogParabola     |                   |NVSS J121915+365718         |           000|
|4FGL J0037.6+3653 |00 37 37.1|+36 53 47|    1.9086e-10|          3.1280e-11|                7.0735|PowerLaw        |                   |4C +36.01                   |           000|
|4FGL J2142.4+3659 |21 42 24.5|+36 59 08|    2.3187e-10|          4.0784e-11|                9.8345|PowerLaw        |                   |2MASS J21422658+3659481     |           000|
|4FGL J1840.5+3707 |18 40 35.4|+37 07 02|    5.9486e-11|          2.6413e-11|                6.1153|LogParabola     |                   |MG2 J184059+3702            |           000|
|4FGL J1129.1+3703 |11 29 11.0|+37 03 52|    3.2243e-10|          3.5846e-11|               13.5338|PowerLaw        |3FGL J1129.0+3705  |CRATES J112916+370317       |           000|
|4FGL J2304.6+3704 |23 04 41.4|+37 04 57|    6.7005e-10|          4.8926e-11|               24.1592|PowerLaw        |3FGL J2304.6+3704  |1RXS J230437.1+370506       |           000|
|4FGL J1925.3+3705 |19 25 22.4|+37 05 07|    1.3749e-10|          3.4707e-11|                5.4427|PowerLaw        |                   |1RXS J192520.1+370527       |           000|
|4FGL J1424.5+3705 |14 24 34.7|+37 05 43|    4.5420e-11|          1.7910e-11|                4.5611|PowerLaw        |                   |TXS 1422+373                |           000|
|4FGL J1354.4+3707 |13 54 27.5|+37 07 48|    3.0825e-10|          3.2293e-11|               14.7823|PowerLaw        |3FGL J1354.5+3705  |NVSS J135426+370654         |           000|
|4FGL J2236.6+3706 |22 36 38.6|+37 06 10|    1.3655e-10|          3.4525e-11|                7.0290|PowerLaw        |                   |NVSS J223626+370713         |           000|
|4FGL J1249.8+3707 |12 49 50.4|+37 07 50|    3.2746e-10|          3.2432e-11|               17.2424|PowerLaw        |3FGL J1249.7+3705  |2MASS J12494675+3707474     |           000|
|4FGL J1033.7+3708 |10 33 43.2|+37 08 28|    4.1749e-10|          3.8987e-11|               17.0538|PowerLaw        |                   |RX J1033.8+3708             |           000|
|4FGL J1304.0+3704 |13 04 01.8|+37 04 16|    1.9647e-10|          2.7576e-11|                9.4616|PowerLaw        |                   |WISE J130407.31+370908.1    |           002|
|4FGL J1438.9+3710 |14 38 57.6|+37 10 31|    9.7202e-10|          4.7139e-11|               40.2637|LogParabola     |3FGL J1438.7+3710  |B2 1436+37B                 |           000|
